Policy_Number,Policy_Type,Coverage,Exclusions,Duration,Premium,Renewal_Option
POL955A,Property,Covers emergency medical expenses abroad,Suicide not covered for first year,5 Years,"₹12,000",Offline Renewal Only
POL621E,Property,Covers emergency medical expenses abroad,Adventure sports injuries excluded,Annual,"₹30,000",Online Renewal Available
POL416C,Life,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,5 Years,"₹10,000",Offline Renewal Only
POL553D,Life,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,5 Years,"₹12,000",Offline Renewal Only
POL311P,Property,Covers death due to natural or accidental causes,War-related damages excluded,5 Years,"₹8,000",Offline Renewal Only
POL245Y,Travel,Covers accidental damage and theft,War-related damages excluded,20 Years,"₹15,000",Online Renewal Available
POL914E,Motor,"Covers hospitalization up to ₹2,00,000",Claims under alcohol influence excluded,10 Years,"₹12,000",Online Renewal Available
POL828H,Property,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,Annual,"₹8,000",Offline Renewal Only
POL713C,Accident,Covers emergency medical expenses abroad,Adventure sports injuries excluded,20 Years,"₹25,000",Online Renewal Available
POL818O,Accident,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,3 Years,"₹15,000",Offline Renewal Only
POL403I,Travel,Covers personal accident injuries and liabilities,War-related damages excluded,Annual,"₹25,000",Offline Renewal Only
POL694K,Life,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,3 Years,"₹20,000",Online Renewal Available
POL239W,Motor,Covers personal accident injuries and liabilities,Suicide not covered for first year,5 Years,"₹20,000",Offline Renewal Only
POL337W,Health,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,Annual,"₹15,000",Offline Renewal Only
POL355V,Property,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,Annual,"₹20,000",Online Renewal Available
POL809M,Accident,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,5 Years,"₹10,000",Online Renewal Available
POL327A,Property,Covers accidental damage and theft,War-related damages excluded,3 Years,"₹15,000",Online Renewal Available
POL734Q,Property,Covers personal accident injuries and liabilities,War-related damages excluded,10 Years,"₹10,000",Online Renewal Available
POL138H,Life,Covers emergency medical expenses abroad,War-related damages excluded,Annual,"₹30,000",Offline Renewal Only
POL961U,Accident,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,20 Years,"₹10,000",Offline Renewal Only
POL243S,Travel,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,3 Years,"₹20,000",Offline Renewal Only
POL754X,Health,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,20 Years,"₹10,000",Online Renewal Available
POL891E,Travel,Covers emergency medical expenses abroad,Suicide not covered for first year,20 Years,"₹10,000",Online Renewal Available
POL785P,Travel,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,5 Years,"₹8,000",Online Renewal Available
POL916A,Travel,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,5 Years,"₹18,000",Online Renewal Available
POL889Z,Property,Covers accidental damage and theft,War-related damages excluded,20 Years,"₹10,000",Offline Renewal Only
POL190M,Life,Covers death due to natural or accidental causes,Suicide not covered for first year,10 Years,"₹25,000",Offline Renewal Only
POL721R,Health,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,20 Years,"₹30,000",Online Renewal Available
POL293H,Motor,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,3 Years,"₹15,000",Online Renewal Available
POL896R,Travel,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,10 Years,"₹25,000",Offline Renewal Only
POL509X,Accident,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,3 Years,"₹15,000",Offline Renewal Only
POL513A,Travel,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,5 Years,"₹25,000",Online Renewal Available
POL837D,Health,Covers emergency medical expenses abroad,War-related damages excluded,5 Years,"₹10,000",Online Renewal Available
POL669E,Health,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,5 Years,"₹10,000",Online Renewal Available
POL745I,Travel,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,3 Years,"₹30,000",Offline Renewal Only
POL492H,Motor,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,20 Years,"₹15,000",Offline Renewal Only
POL456W,Health,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,5 Years,"₹12,000",Offline Renewal Only
POL489R,Life,Covers personal accident injuries and liabilities,Suicide not covered for first year,10 Years,"₹30,000",Online Renewal Available
POL398H,Travel,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,3 Years,"₹20,000",Offline Renewal Only
POL127S,Life,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,10 Years,"₹20,000",Offline Renewal Only
POL207I,Health,Covers death due to natural or accidental causes,War-related damages excluded,3 Years,"₹8,000",Online Renewal Available
POL202U,Travel,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,10 Years,"₹8,000",Online Renewal Available
POL627J,Travel,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,3 Years,"₹18,000",Offline Renewal Only
POL324U,Life,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,Annual,"₹18,000",Online Renewal Available
POL880T,Motor,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,3 Years,"₹15,000",Online Renewal Available
POL347C,Accident,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,Annual,"₹8,000",Online Renewal Available
POL759O,Accident,Covers emergency medical expenses abroad,Suicide not covered for first year,10 Years,"₹20,000",Online Renewal Available
POL616W,Travel,"Covers fire, flood, and natural disasters",Suicide not covered for first year,3 Years,"₹10,000",Online Renewal Available
POL771F,Property,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,Annual,"₹25,000",Online Renewal Available
POL545G,Accident,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,10 Years,"₹20,000",Online Renewal Available
POL922M,Health,Covers personal accident injuries and liabilities,War-related damages excluded,5 Years,"₹10,000",Offline Renewal Only
POL703N,Life,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,20 Years,"₹8,000",Offline Renewal Only
POL468W,Health,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,Annual,"₹25,000",Online Renewal Available
POL955Y,Travel,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,20 Years,"₹30,000",Offline Renewal Only
POL685M,Accident,Covers death due to natural or accidental causes,Adventure sports injuries excluded,20 Years,"₹12,000",Offline Renewal Only
POL561W,Travel,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,5 Years,"₹15,000",Offline Renewal Only
POL667V,Health,Covers emergency medical expenses abroad,War-related damages excluded,5 Years,"₹18,000",Offline Renewal Only
POL440M,Health,Covers emergency medical expenses abroad,Adventure sports injuries excluded,5 Years,"₹12,000",Online Renewal Available
POL423L,Travel,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,5 Years,"₹15,000",Offline Renewal Only
POL797W,Health,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,5 Years,"₹30,000",Offline Renewal Only
POL202J,Health,Covers death due to natural or accidental causes,War-related damages excluded,5 Years,"₹12,000",Offline Renewal Only
POL366A,Property,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,20 Years,"₹8,000",Offline Renewal Only
POL169E,Property,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,5 Years,"₹18,000",Offline Renewal Only
POL958E,Accident,Covers personal accident injuries and liabilities,Suicide not covered for first year,3 Years,"₹8,000",Offline Renewal Only
POL221S,Property,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,3 Years,"₹8,000",Online Renewal Available
POL397A,Health,Covers death due to natural or accidental causes,Adventure sports injuries excluded,3 Years,"₹25,000",Online Renewal Available
POL910D,Health,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,5 Years,"₹15,000",Offline Renewal Only
POL682N,Life,Covers emergency medical expenses abroad,Suicide not covered for first year,10 Years,"₹15,000",Online Renewal Available
POL484X,Property,"Covers hospitalization up to ₹2,00,000",Claims under alcohol influence excluded,Annual,"₹8,000",Online Renewal Available
POL584C,Accident,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,10 Years,"₹8,000",Offline Renewal Only
POL100U,Life,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,5 Years,"₹25,000",Online Renewal Available
POL398D,Life,Covers personal accident injuries and liabilities,Suicide not covered for first year,5 Years,"₹15,000",Online Renewal Available
POL686T,Motor,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,Annual,"₹18,000",Offline Renewal Only
POL288V,Travel,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,5 Years,"₹10,000",Online Renewal Available
POL363V,Health,Covers personal accident injuries and liabilities,Suicide not covered for first year,3 Years,"₹8,000",Online Renewal Available
POL459Z,Motor,Covers accidental damage and theft,War-related damages excluded,3 Years,"₹25,000",Online Renewal Available
POL418D,Travel,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,20 Years,"₹25,000",Offline Renewal Only
POL930P,Property,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,20 Years,"₹18,000",Offline Renewal Only
POL674U,Motor,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,20 Years,"₹10,000",Online Renewal Available
POL480R,Motor,Covers accidental damage and theft,Dental and cosmetic procedures excluded,5 Years,"₹8,000",Online Renewal Available
POL337Q,Travel,Covers accidental damage and theft,Suicide not covered for first year,5 Years,"₹18,000",Offline Renewal Only
POL118I,Motor,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,Annual,"₹20,000",Online Renewal Available
POL636X,Health,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,Annual,"₹15,000",Online Renewal Available
POL293R,Accident,Covers personal accident injuries and liabilities,Suicide not covered for first year,5 Years,"₹10,000",Online Renewal Available
POL567X,Travel,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,10 Years,"₹12,000",Offline Renewal Only
POL189N,Travel,Covers death due to natural or accidental causes,Adventure sports injuries excluded,3 Years,"₹15,000",Offline Renewal Only
POL551N,Health,Covers accidental damage and theft,Adventure sports injuries excluded,10 Years,"₹20,000",Offline Renewal Only
POL296U,Accident,Covers accidental damage and theft,Adventure sports injuries excluded,Annual,"₹10,000",Online Renewal Available
